Date,Store,Product,Sales,Units_Sold,Cost,Customer_Count,Promotion,Profit,Profit_Margin,Sales_Store_Mean,Sales_Deviation,Rolling_Sales_Mean
2023-04-13,Store_A,Product_1,889.9531021672101,81,551.5433072450408,70,True,338.40979492216934,38.02557619025937,995.9006187034004,-105.94751653619028,889.9531021672101
2023-08-29,Store_A,Product_1,1018.3521553071005,32,301.24310853991074,192,False,717.1090467671897,70.41857210494477,995.9006187034004,22.451536603700106,954.1526287371553
2023-12-04,Store_A,Product_1,424.1086213055248,70,419.68223349873523,117,True,4.426387806789592,1.043692012947988,995.9006187034004,-571.7919973978755,777.4712929266119
2023-05-04,Store_A,Product_1,738.4171400661251,67,300.9400450422636,139,True,437.47709502386147,59.24525194318831,995.9006187034004,-257.4834786372753,767.7077547114901
2023-05-24,Store_A,Product_1,641.590979972957,34,455.32264882100924,172,True,186.2683311519478,29.03225527886925,995.9006187034004,-354.30963873044334,742.4843997637835
2023-06-26,Store_A,Product_1,977.0920309494765,10,623.7816311973462,198,True,353.31039975213025,36.15937788468149,995.9006187034004,-18.808587753923916,759.9121855202368
2023-12-31,Store_A,Product_1,1080.0437940814077,32,421.5488106186698,156,False,658.4949834627379,60.96928541891183,995.9006187034004,84.1431753780073,772.2505132750982
2023-08-25,Store_A,Product_1,1341.8584989459243,81,582.4900186128734,88,False,759.3684803330509,56.59080155840282,995.9006187034004,345.95788024252397,955.800488803178
2023-07-17,Store_A,Product_1,856.3393167658503,35,590.5887611490502,163,False,265.75055561680006,31.033324105736988,995.9006187034004,-139.56130193755007,979.3849241431232
2023-12-29,Store_A,Product_1,954.998819325925,45,620.7592170430262,162,False,334.2396022828988,34.99895450329645,995.9006187034004,-40.90179937747541,1042.0664920137167
2023-01-03,Store_A,Product_1,627.7302192646353,77,470.02614233907974,195,True,157.7040769255555,25.122906638189335,995.9006187034004,-368.1703994387651,972.1941296767484
